Item,Quantity,Link
Raspberry Pi Model 3B 1GB,1,https://www.digikey.com/en/products/detail/raspberry-pi/SC0022/6152799
"Nano V3.0, (3 Pack)",1,https://a.co/d/9xtDXWl
Feetech 30KG Serial Bus Servo STS3215 12V Robotics Motor (6 pack),1,https://a.co/d/iHHMIzh
FE-URT-1 Serial Bus Servo Signal Conversion Board,1,https://a.co/d/dvNswPN
White Elegoo PETG Filament 2KG,1,https://a.co/d/hY3RwI1
Black Siraya Tech Flex 85A TPU Filament 1KG,1,https://a.co/d/5w6u7CR
3A Mini DC-DC Buck Step Down Converter (10 pack),1,https://a.co/d/47GRL41
OVONIC 3S LiPo Battery 3000mAh 11.1V 130C RC Battery with XT60 Connector,1,https://a.co/d/0gbthKod
Lipo Safe Bag(2 pack),1,https://a.co/d/015qrFE
Lexar MicroSD card 32GB (2 pack),1,https://a.co/d/cnXFC7C
16 AWG XT60 Connectors (3 pair),1,https://a.co/d/08h4Eg9N
Inline fuse holders,1,https://a.co/d/01MM4D9o
BNO085 IMU (9DOF),1,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4754/13426653
22 AWG Stranded Wire Spool 5ft Each 6 Colors,1,https://a.co/d/5BzQJls
Close Range Ultrasonic Sensor (5 pack) (HC-SR04),2,https://a.co/d/3diNHQw
Museum Putty,1,https://a.co/d/8DZjPia
3M Double Sided Foam Tape,1,https://a.co/d/iFtOYlh
XT-60 power splitter (1 female to 3 male),1,https://a.co/d/fD9xkFq
"Scotch Vinyl Electric Tape 1 Roll, Black, 3/4-in x 66-ft",1,https://a.co/d/eYtmley
J-B Weld 50133 Plastic Bonder Structural Adhesive Syringe - Tan - 25 ml,1,https://a.co/d/7YW5mEn
"1710Pcs Metric Bolt Assortment M2 M3 M4, 21 Sizes 4MM to 30MM",1,https://a.co/d/033dwhMF
1440 piece Self Tapping Electronic Screws M1-M2.3,1,https://a.co/d/078vDWSM
Breadboard Jumper Cables,1,https://a.co/d/0hUW9Au0
Cable Management Mesh,1,https://a.co/d/0e090q8c
Loctite 1330799 243 Blue Oil Resistant Threadlocker Tube - 6 ml,1,https://a.co/d/04PtQ2lp
"GE Advanced Silicone Caulk, 2.8 fl oz Tube, 100% Waterproof Silicone Sealant",1,https://a.co/d/0bI7Rz4a
Scotch Clear Adhesive Bumper Pads,1,https://a.co/d/0gSrLq1X
"HFT Super Glue Gel, 10-Pack",1,www.harborfreight.com/super-glue-gel-10-pack-68349.html
520Pcs M2 M3 M4 M5 Threaded Inserts Assortment,1,https://a.co/d/08kKaHyx
Lid-to-chassis screws,1,https://a.co/d/0gzwEmfd
Mo-Flow Hydrophobic Mesh Air Filter,1,https://a.co/d/06QhTKAN
